"match","date","team_1","team_2","season","venue","toss_winner","toss_decision","is_superover","is_result","is_duckworthlewis","win_type","won_by","winner","mom","first_umpire","second_empire","city","host_country"
"422","4-May-14","Royal Challengers Bangalore","Sunrisers Hyderabad","7","M Chinnaswamy Stadium","Royal Challengers Bangalore","field","0","1","0","by wickets","4","Royal Challengers Bangalore","AB de Villiers","HDPK Dharmasena","VA Kulkarni","Bangalore","India"
"423","5-May-14","Rajasthan Royals","Kolkata Knight Riders","7","Sardar Patel Stadium, Motera","Kolkata Knight Riders","field","0","1","0","by runs","10","Rajasthan Royals","PV Tambe","NJ Llong","CK Nandan","Ahmedabad","India"
"424","5-May-14","Delhi Daredevils","Chennai Super Kings","7","Feroz Shah Kotla","Chennai Super Kings","field","0","1","0","by wickets","8","Chennai Super Kings","DR Smith","RM Deshpande","BNJ Oxenford","Delhi","India"
"425","6-May-14","Mumbai Indians","Royal Challengers Bangalore","7","Wankhede Stadium","Royal Challengers Bangalore","field","0","1","0","by runs","19","Mumbai Indians","RG Sharma","S Ravi","K Srinath","Mumbai","India"
"426","7-May-14","Delhi Daredevils","Kolkata Knight Riders","7","Feroz Shah Kotla","Delhi Daredevils","bat","0","1","0","by wickets","8","Kolkata Knight Riders","G Gambhir","BNJ Oxenford","C Shamshuddin","Delhi","India"
"427","7-May-14","Kings XI Punjab","Chennai Super Kings","7","Barabati Stadium","Chennai Super Kings","field","0","1","0","by runs","44","Kings XI Punjab","GJ Maxwell","HDPK Dharmasena","PG Pathak","Cuttack","India"
"428","8-May-14","Rajasthan Royals","Sunrisers Hyderabad","7","Sardar Patel Stadium, Motera","Rajasthan Royals","field","0","1","0","by runs","32","Sunrisers Hyderabad","B Kumar","AK Chaudhary","NJ Llong","Ahmedabad","India"
"429","9-May-14","Royal Challengers Bangalore","Kings XI Punjab","7","M Chinnaswamy Stadium","Royal Challengers Bangalore","field","0","1","0","by runs","32","Kings XI Punjab","Sandeep Sharma","S Ravi","K Srinath","Bangalore","India"
"430","10-May-14","Delhi Daredevils","Sunrisers Hyderabad","7","Feroz Shah Kotla","Sunrisers Hyderabad","field","0","1","1","by wickets","8","Sunrisers Hyderabad","DW Steyn","RM Deshpande","BNJ Oxenford","Delhi","India"
"431","10-May-14","Mumbai Indians","Chennai Super Kings","7","Wankhede Stadium","Chennai Super Kings","field","0","1","0","by wickets","4","Chennai Super Kings","DR Smith","HDPK Dharmasena","VA Kulkarni","Mumbai","India"
"432","11-May-14","Kings XI Punjab","Kolkata Knight Riders","7","Barabati Stadium","Kolkata Knight Riders","field","0","1","0","by wickets","9","Kolkata Knight Riders","G Gambhir","NJ Llong","CK Nandan","Cuttack","India"
"433","11-May-14","Royal Challengers Bangalore","Rajasthan Royals","7","M Chinnaswamy Stadium","Royal Challengers Bangalore","bat","0","1","0","by wickets","5","Rajasthan Royals","JP Faulkner","S Ravi","RJ Tucker","Bangalore","India"
"434","12-May-14","Sunrisers Hyderabad","Mumbai Indians","7","Rajiv Gandhi International Stadium, Uppal","Sunrisers Hyderabad","bat","0","1","0","by wickets","7","Mumbai Indians","AT Rayudu","HDPK Dharmasena","VA Kulkarni","Hyderabad","India"
"435","13-May-14","Chennai Super Kings","Rajasthan Royals","7","JSCA International Stadium Complex","Rajasthan Royals","bat","0","1","0","by wickets","5","Chennai Super Kings","RA Jadeja","BNJ Oxenford","C Shamshuddin","Ranchi","India"
"436","13-May-14","Royal Challengers Bangalore","Delhi Daredevils","7","M Chinnaswamy Stadium","Delhi Daredevils","field","0","1","0","by runs","16","Royal Challengers Bangalore","Yuvraj Singh","K Srinath","RJ Tucker","Bangalore","India"
"437","14-May-14","Sunrisers Hyderabad","Kings XI Punjab","7","Rajiv Gandhi International Stadium, Uppal","Kings XI Punjab","field","0","1","0","by wickets","6","Kings XI Punjab","WP Saha","VA Kulkarni","PG Pathak","Hyderabad","India"
"438","14-May-14","Kolkata Knight Riders","Mumbai Indians","7","Barabati Stadium","Kolkata Knight Riders","field","0","1","0","by wickets","6","Kolkata Knight Riders","RV Uthappa","AK Chaudhary","NJ Llong","Cuttack","India"
"439","15-May-14","Rajasthan Royals","Delhi Daredevils","7","Sardar Patel Stadium, Motera","Delhi Daredevils","field","0","1","0","by runs","62","Rajasthan Royals","AM Rahane","S Ravi","RJ Tucker","Ahmedabad","India"
"440","18-May-14","Chennai Super Kings","Royal Challengers Bangalore","7","JSCA International Stadium Complex","Chennai Super Kings","bat","0","1","0","by wickets","5","Royal Challengers Bangalore","AB de Villiers","BNJ Oxenford","C Shamshuddin","Ranchi","India"
"441","18-May-14","Sunrisers Hyderabad","Kolkata Knight Riders","7","Rajiv Gandhi International Stadium, Uppal","Sunrisers Hyderabad","bat","0","1","0","by wickets","7","Kolkata Knight Riders","UT Yadav","NJ Llong","CK Nandan","Hyderabad","India"
"442","19-May-14","Rajasthan Royals","Mumbai Indians","7","Sardar Patel Stadium, Motera","Mumbai Indians","bat","0","1","0","by runs","25","Mumbai Indians","MEK Hussey","S Ravi","RJ Tucker","Ahmedabad","India"
"443","19-May-14","Delhi Daredevils","Kings XI Punjab","7","Feroz Shah Kotla","Kings XI Punjab","field","0","1","0","by wickets","4","Kings XI Punjab","AR Patel","HDPK Dharmasena","PG Pathak","Delhi","India"
"444","20-May-14","Sunrisers Hyderabad","Royal Challengers Bangalore","7","Rajiv Gandhi International Stadium, Uppal","Royal Challengers Bangalore","bat","0","1","0","by wickets","7","Sunrisers Hyderabad","DA Warner","AK Chaudhary","NJ Llong","Hyderabad","India"
"445","20-May-14","Kolkata Knight Riders","Chennai Super Kings","7","Eden Gardens","Kolkata Knight Riders","field","0","1","0","by wickets","8","Kolkata Knight Riders","RV Uthappa","RM Deshpande","C Shamshuddin","Kolkata","India"
"446","21-May-14","Kings XI Punjab","Mumbai Indians","7","Punjab Cricket Association Stadium, Mohali","Mumbai Indians","field","0","1","0","by wickets","7","Mumbai Indians","LMP Simmons","HDPK Dharmasena","VA Kulkarni","Chandigarh","India"
"447","22-May-14","Kolkata Knight Riders","Royal Challengers Bangalore","7","Eden Gardens","Royal Challengers Bangalore","field","0","1","0","by runs","30","Kolkata Knight Riders","RV Uthappa","AK Chaudhary","CK Nandan","Kolkata","India"
"448","22-May-14","Chennai Super Kings","Sunrisers Hyderabad","7","JSCA International Stadium Complex","Sunrisers Hyderabad","field","0","1","0","by wickets","6","Sunrisers Hyderabad","DA Warner","BNJ Oxenford","C Shamshuddin","Ranchi","India"
"449","23-May-14","Mumbai Indians","Delhi Daredevils","7","Wankhede Stadium","Delhi Daredevils","field","0","1","0","by runs","15","Mumbai Indians","MEK Hussey","S Ravi","RJ Tucker","Mumbai","India"
"450","23-May-14","Kings XI Punjab","Rajasthan Royals","7","Punjab Cricket Association Stadium, Mohali","Rajasthan Royals","field","0","1","0","by runs","16","Kings XI Punjab","SE Marsh","HDPK Dharmasena","PG Pathak","Chandigarh","India"
"451","24-May-14","Royal Challengers Bangalore","Chennai Super Kings","7","M Chinnaswamy Stadium","Chennai Super Kings","field","0","1","0","by wickets","8","Chennai Super Kings","MS Dhoni","AK Chaudhary","NJ Llong","Bangalore","India"
"452","24-May-14","Kolkata Knight Riders","Sunrisers Hyderabad","7","Eden Gardens","Kolkata Knight Riders","field","0","1","0","by wickets","4","Kolkata Knight Riders","YK Pathan","RM Deshpande","BNJ Oxenford","Kolkata","India"
"453","25-May-14","Kings XI Punjab","Delhi Daredevils","7","Punjab Cricket Association Stadium, Mohali","Kings XI Punjab","field","0","1","0","by wickets","7","Kings XI Punjab","M Vohra","HDPK Dharmasena","VA Kulkarni","Chandigarh","India"
"454","25-May-14","Mumbai Indians","Rajasthan Royals","7","Wankhede Stadium","Mumbai Indians","field","0","1","0","by wickets","5","Mumbai Indians","CJ Anderson","K Srinath","RJ Tucker","Mumbai","India"
"455","27-May-14","Kings XI Punjab","Kolkata Knight Riders","7","Eden Gardens","Kings XI Punjab","field","0","1","0","by runs","28","Kolkata Knight Riders","UT Yadav","NJ Llong","S Ravi","Kolkata","India"
"456","28-May-14","Chennai Super Kings","Mumbai Indians","7","Brabourne Stadium","Chennai Super Kings","field","0","1","0","by wickets","7","Chennai Super Kings","SK Raina","VA Kulkarni","BNJ Oxenford","Mumbai","India"
"457","30-May-14","Chennai Super Kings","Kings XI Punjab","7","Wankhede Stadium","Chennai Super Kings","field","0","1","0","by runs","24","Kings XI Punjab","V Sehwag","HDPK Dharmasena","RJ Tucker","Mumbai","India"
"458","1-Jun-14","Kolkata Knight Riders","Kings XI Punjab","7","M Chinnaswamy Stadium","Kolkata Knight Riders","field","0","1","0","by wickets","3","Kolkata Knight Riders","MK Pandey","HDPK Dharmasena","BNJ Oxenford","Bangalore","India"
"459","8-Apr-15","Kolkata Knight Riders","Mumbai Indians","8","Eden Gardens","Kolkata Knight Riders","field","0","1","0","by wickets","7","Kolkata Knight Riders","M Morkel","S Ravi","C Shamshuddin","Kolkata","India"
"460","9-Apr-15","Chennai Super Kings","Delhi Daredevils","8","MA Chidambaram Stadium, Chepauk","Delhi Daredevils","field","0","1","0","by runs","1","Chennai Super Kings","A Nehra","RK Illingworth","VA Kulkarni","Chennai","India"
"461","10-Apr-15","Kings XI Punjab","Rajasthan Royals","8","Maharashtra Cricket Association Stadium","Kings XI Punjab","field","0","1","0","by runs","26","Rajasthan Royals","JP Faulkner","SD Fry","CB Gaffaney","Pune","India"
"462","11-Apr-15","Chennai Super Kings","Sunrisers Hyderabad","8","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","bat","0","1","0","by runs","45","Chennai Super Kings","BB McCullum","RK Illingworth","VA Kulkarni","Chennai","India"
"463","11-Apr-15","Kolkata Knight Riders","Royal Challengers Bangalore","8","Eden Gardens","Royal Challengers Bangalore","field","0","1","0","by wickets","3","Royal Challengers Bangalore","CH Gayle","S Ravi","C Shamshuddin","Kolkata","India"
"464","12-Apr-15","Delhi Daredevils","Rajasthan Royals","8","Feroz Shah Kotla","Rajasthan Royals","field","0","1","0","by wickets","3","Rajasthan Royals","DJ Hooda","SD Fry","CB Gaffaney","Delhi","India"
"465","12-Apr-15","Mumbai Indians","Kings XI Punjab","8","Wankhede Stadium","Mumbai Indians","field","0","1","0","by runs","18","Kings XI Punjab","GJ Bailey","AK Chaudhary","K Srinivasan","Mumbai","India"
"466","13-Apr-15","Royal Challengers Bangalore","Sunrisers Hyderabad","8","M Chinnaswamy Stadium","Sunrisers Hyderabad","field","0","1","0","by wickets","8","Sunrisers Hyderabad","DA Warner","RM Deshpande","RK Illingworth","Bangalore","India"
"467","14-Apr-15","Rajasthan Royals","Mumbai Indians","8","Sardar Patel Stadium, Motera","Mumbai Indians","bat","0","1","0","by wickets","7","Rajasthan Royals","SPD Smith","AK Chaudhary","SD Fry","Ahmedabad","India"
"468","30-Apr-15","Kolkata Knight Riders","Chennai Super Kings","8","Eden Gardens","Kolkata Knight Riders","field","0","1","0","by wickets","7","Kolkata Knight Riders","AD Russell","AK Chaudhary","M Erasmus","Kolkata","India"
"469","15-Apr-15","Kings XI Punjab","Delhi Daredevils","8","Maharashtra Cricket Association Stadium","Kings XI Punjab","bat","0","1","0","by wickets","5","Delhi Daredevils","MA Agarwal","CB Gaffaney","K Srinath","Pune","India"
"470","16-Apr-15","Sunrisers Hyderabad","Rajasthan Royals","8","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Rajasthan Royals","field","0","1","0","by wickets","6","Rajasthan Royals","AM Rahane","PG Pathak","S Ravi","Visakhapatnam","India"
"471","17-Apr-15","Mumbai Indians","Chennai Super Kings","8","Wankhede Stadium","Mumbai Indians","bat","0","1","0","by wickets","6","Chennai Super Kings","A Nehra","AK Chaudhary","M Erasmus","Mumbai","India"
"472","18-Apr-15","Sunrisers Hyderabad","Delhi Daredevils","8","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Delhi Daredevils","bat","0","1","0","by runs","4","Delhi Daredevils","JP Duminy","PG Pathak","S Ravi","Visakhapatnam","India"
"473","18-Apr-15","Kings XI Punjab","Kolkata Knight Riders","8","Maharashtra Cricket Association Stadium","Kolkata Knight Riders","field","0","1","0","by wickets","4","Kolkata Knight Riders","AD Russell","SD Fry","CK Nandan","Pune","India"
"474","19-Apr-15","Rajasthan Royals","Chennai Super Kings","8","Sardar Patel Stadium, Motera","Chennai Super Kings","bat","0","1","0","by wickets","8","Rajasthan Royals","AM Rahane","AK Chaudhary","M Erasmus","Ahmedabad","India"
"475","19-Apr-15","Royal Challengers Bangalore","Mumbai Indians","8","M Chinnaswamy Stadium","Royal Challengers Bangalore","field","0","1","0","by runs","18","Mumbai Indians","Harbhajan Singh","RK Illingworth","VA Kulkarni","Bangalore","India"
"476","20-Apr-15","Delhi Daredevils","Kolkata Knight Riders","8","Feroz Shah Kotla","Kolkata Knight Riders","field","0","1","0","by wickets","6","Kolkata Knight Riders","UT Yadav","SD Fry","CB Gaffaney","Delhi","India"
"477","21-Apr-15","Rajasthan Royals","Kings XI Punjab","8","Sardar Patel Stadium, Motera","Kings XI Punjab","field","1","1","0","Tie","NULL","Kings XI Punjab","SE Marsh","M Erasmus","S Ravi","Ahmedabad","India"
"478","22-Apr-15","Sunrisers Hyderabad","Kolkata Knight Riders","8","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Kolkata Knight Riders","field","0","1","1","by runs","16","Sunrisers Hyderabad","DA Warner","RK Illingworth","VA Kulkarni","Visakhapatnam","India"
"479","22-Apr-15","Royal Challengers Bangalore","Chennai Super Kings","8","M Chinnaswamy Stadium","Royal Challengers Bangalore","field","0","1","0","by runs","27","Chennai Super Kings","SK Raina","JD Cloete","C Shamshuddin","Bangalore","India"
"480","23-Apr-15","Delhi Daredevils","Mumbai Indians","8","Feroz Shah Kotla","Mumbai Indians","field","0","1","0","by runs","37","Delhi Daredevils","SS Iyer","SD Fry","CK Nandan","Delhi","India"
"481","24-Apr-15","Rajasthan Royals","Royal Challengers Bangalore","8","Sardar Patel Stadium, Motera","Royal Challengers Bangalore","field","0","1","0","by wickets","9","Royal Challengers Bangalore","MA Starc","M Erasmus","S Ravi","Ahmedabad","India"
"482","25-Apr-15","Mumbai Indians","Sunrisers Hyderabad","8","Wankhede Stadium","Mumbai Indians","bat","0","1","0","by runs","20","Mumbai Indians","SL Malinga","HDPK Dharmasena","CB Gaffaney","Mumbai","India"
"483","25-Apr-15","Chennai Super Kings","Kings XI Punjab","8","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","bat","0","1","0","by runs","97","Chennai Super Kings","BB McCullum","JD Cloete","C Shamshuddin","Chennai","India"
"484","26-Apr-15","Delhi Daredevils","Royal Challengers Bangalore","8","Feroz Shah Kotla","Royal Challengers Bangalore","field","0","1","0","by wickets","10","Royal Challengers Bangalore","VR Aaron","M Erasmus","S Ravi","Delhi","India"
"485","27-Apr-15","Kings XI Punjab","Sunrisers Hyderabad","8","Punjab Cricket Association Stadium, Mohali","Kings XI Punjab","field","0","1","0","by runs","20","Sunrisers Hyderabad","TA Boult","HDPK Dharmasena","CB Gaffaney","Chandigarh","India"
"486","7-May-15","Kolkata Knight Riders","Delhi Daredevils","8","Eden Gardens","Kolkata Knight Riders","bat","0","1","0","by runs","13","Kolkata Knight Riders","PP Chawla","AK Chaudhary","M Erasmus","Kolkata","India"
"487","29-Apr-15","Royal Challengers Bangalore","Rajasthan Royals","8","M Chinnaswamy Stadium","Rajasthan Royals","field","0","0","0","No Result","NULL","","","JD Cloete","PG Pathak","Bangalore","India"
"488","28-Apr-15","Chennai Super Kings","Kolkata Knight Riders","8","MA Chidambaram Stadium, Chepauk","Kolkata Knight Riders","field","0","1","0","by runs","2","Chennai Super Kings","DJ Bravo","RM Deshpande","VA Kulkarni","Chennai","India"
"489","1-May-15","Delhi Daredevils","Kings XI Punjab","8","Feroz Shah Kotla","Delhi Daredevils","field","0","1","0","by wickets","9","Delhi Daredevils","NM Coulter-Nile","RK Illingworth","S Ravi","Delhi","India"
"490","1-May-15","Mumbai Indians","Rajasthan Royals","8","Wankhede Stadium","Rajasthan Royals","field","0","1","0","by runs","8","Mumbai Indians","AT Rayudu","HDPK Dharmasena","CK Nandan","Mumbai","India"
"491","2-May-15","Royal Challengers Bangalore","Kolkata Knight Riders","8","M Chinnaswamy Stadium","Royal Challengers Bangalore","field","0","1","0","by wickets","7","Royal Challengers Bangalore","Mandeep Singh","JD Cloete","PG Pathak","Bangalore","India"
"492","2-May-15","Sunrisers Hyderabad","Chennai Super Kings","8","Rajiv Gandhi International Stadium, Uppal","Chennai Super Kings","field","0","1","0","by runs","22","Sunrisers Hyderabad","DA Warner","AK Chaudhary","K Srinivasan","Hyderabad","India"
"493","3-May-15","Kings XI Punjab","Mumbai Indians","8","Punjab Cricket Association Stadium, Mohali","Mumbai Indians","bat","0","1","0","by runs","23","Mumbai Indians","LMP Simmons","RK Illingworth","VA Kulkarni","Chandigarh","India"
"494","3-May-15","Rajasthan Royals","Delhi Daredevils","8","Brabourne Stadium","Delhi Daredevils","field","0","1","0","by runs","14","Rajasthan Royals","AM Rahane","HDPK Dharmasena","CB Gaffaney","Mumbai","India"
"495","4-May-15","Chennai Super Kings","Royal Challengers Bangalore","8","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","bat","0","1","0","by runs","24","Chennai Super Kings","SK Raina","C Shamshuddin","K Srinath","Chennai","India"
"496","4-May-15","Kolkata Knight Riders","Sunrisers Hyderabad","8","Eden Gardens","Sunrisers Hyderabad","field","0","1","0","by runs","35","Kolkata Knight Riders","UT Yadav","AK Chaudhary","M Erasmus","Kolkata","India"
"497","5-May-15","Mumbai Indians","Delhi Daredevils","8","Wankhede Stadium","Delhi Daredevils","bat","0","1","0","by wickets","5","Mumbai Indians","Harbhajan Singh","HDPK Dharmasena","CB Gaffaney","Mumbai","India"
"498","6-May-15","Royal Challengers Bangalore","Kings XI Punjab","8","M Chinnaswamy Stadium","Kings XI Punjab","field","0","1","0","by runs","138","Royal Challengers Bangalore","CH Gayle","RK Illingworth","VA Kulkarni","Bangalore","India"
"499","7-May-15","Rajasthan Royals","Sunrisers Hyderabad","8","Brabourne Stadium","Rajasthan Royals","field","0","1","0","by runs","7","Sunrisers Hyderabad","EJG Morgan","JD Cloete","C Shamshuddin","Mumbai","India"
"500","8-May-15","Chennai Super Kings","Mumbai Indians","8","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","bat","0","1","0","by wickets","6","Mumbai Indians","HH Pandya","CB Gaffaney","CK Nandan","Chennai","India"
"501","9-May-15","Kolkata Knight Riders","Kings XI Punjab","8","Eden Gardens","Kings XI Punjab","bat","0","1","0","by wickets","1","Kolkata Knight Riders","AD Russell","AK Chaudhary","HDPK Dharmasena","Kolkata","India"
"502","9-May-15","Delhi Daredevils","Sunrisers Hyderabad","8","Shaheed Veer Narayan Singh International Stadium","Sunrisers Hyderabad","bat","0","1","0","by runs","6","Sunrisers Hyderabad","MC Henriques","VA Kulkarni","S Ravi","Raipur","India"
"503","10-May-15","Mumbai Indians","Royal Challengers Bangalore","8","Wankhede Stadium","Royal Challengers Bangalore","bat","0","1","0","by runs","39","Royal Challengers Bangalore","AB de Villiers","JD Cloete","C Shamshuddin","Mumbai","India"
"504","10-May-15","Chennai Super Kings","Rajasthan Royals","8","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","bat","0","1","0","by runs","12","Chennai Super Kings","RA Jadeja","M Erasmus","CK Nandan","Chennai","India"
"505","11-May-15","Sunrisers Hyderabad","Kings XI Punjab","8","Rajiv Gandhi International Stadium, Uppal","Sunrisers Hyderabad","bat","0","1","0","by runs","5","Sunrisers Hyderabad","DA Warner","AK Chaudhary","HDPK Dharmasena","Hyderabad","India"
"506","12-May-15","Delhi Daredevils","Chennai Super Kings","8","Shaheed Veer Narayan Singh International Stadium","Chennai Super Kings","bat","0","1","0","by wickets","6","Delhi Daredevils","Z Khan","RK Illingworth","VA Kulkarni","Raipur","India"
"507","13-May-15","Kings XI Punjab","Royal Challengers Bangalore","8","Punjab Cricket Association Stadium, Mohali","Royal Challengers Bangalore","field","0","1","0","by runs","22","Kings XI Punjab","AR Patel","JD Cloete","C Shamshuddin","Chandigarh","India"
"508","14-May-15","Mumbai Indians","Kolkata Knight Riders","8","Wankhede Stadium","Kolkata Knight Riders","field","0","1","0","by runs","5","Mumbai Indians","HH Pandya","RK Illingworth","VA Kulkarni","Mumbai","India"
"509","15-May-15","Sunrisers Hyderabad","Royal Challengers Bangalore","8","Rajiv Gandhi International Stadium, Uppal","Sunrisers Hyderabad","bat","0","1","1","by wickets","6","Royal Challengers Bangalore","V Kohli","AK Chaudhary","HDPK Dharmasena","Hyderabad","India"
"510","16-May-15","Kings XI Punjab","Chennai Super Kings","8","Punjab Cricket Association Stadium, Mohali","Kings XI Punjab","bat","0","1","0","by wickets","7","Chennai Super Kings","P Negi","CK Nandan","C Shamshuddin","Chandigarh","India"
"511","16-May-15","Rajasthan Royals","Kolkata Knight Riders","8","Brabourne Stadium","Rajasthan Royals","bat","0","1","0","by runs","9","Rajasthan Royals","SR Watson","RM Deshpande","RK Illingworth","Mumbai","India"
"512","17-May-15","Royal Challengers Bangalore","Delhi Daredevils","8","M Chinnaswamy Stadium","Royal Challengers Bangalore","field","0","0","0","No Result","NULL","","","HDPK Dharmasena","K Srinivasan","Bangalore","India"
"513","17-May-15","Sunrisers Hyderabad","Mumbai Indians","8","Rajiv Gandhi International Stadium, Uppal","Sunrisers Hyderabad","bat","0","1","0","by wickets","9","Mumbai Indians","MJ McClenaghan","CB Gaffaney","K Srinath","Hyderabad","India"
"514","19-May-15","Chennai Super Kings","Mumbai Indians","8","Wankhede Stadium","Mumbai Indians","bat","0","1","0","by runs","25","Mumbai Indians","KA Pollard","HDPK Dharmasena","RK Illingworth","Mumbai","India"
"515","20-May-15","Royal Challengers Bangalore","Rajasthan Royals","8","Maharashtra Cricket Association Stadium","Royal Challengers Bangalore","bat","0","1","0","by runs","71","Royal Challengers Bangalore","AB de Villiers","AK Chaudhary","C Shamshuddin","Pune","India"
"516","22-May-15","Chennai Super Kings","Royal Challengers Bangalore","8","JSCA International Stadium Complex","Chennai Super Kings","field","0","1","0","by wickets","3","Chennai Super Kings","A Nehra","AK Chaudhary","CB Gaffaney","Ranchi","India"
"517","24-May-15","Mumbai Indians","Chennai Super Kings","8","Eden Gardens","Chennai Super Kings","field","0","1","0","by runs","41","Mumbai Indians","RG Sharma","HDPK Dharmasena","RK Illingworth","Kolkata","India"
"518","9-Apr-16","Mumbai Indians","Rising Pune Supergiants","9","Wankhede Stadium","Mumbai Indians","bat","0","1","0","by wickets","9","Rising Pune Supergiants","AM Rahane","HDPK Dharmasena","CK Nandan","Mumbai","India"
"519","10-Apr-16","Kolkata Knight Riders","Delhi Daredevils","9","Eden Gardens","Kolkata Knight Riders","field","0","1","0","by wickets","9","Kolkata Knight Riders","AD Russell","S Ravi","C Shamshuddin","Kolkata","India"
"520","11-Apr-16","Kings XI Punjab","Gujarat Lions","9","Punjab Cricket Association IS Bindra Stadium, Mohali","Gujarat Lions","field","0","1","0","by wickets","5","Gujarat Lions","AJ Finch","AK Chaudhary","VA Kulkarni","Chandigarh","India"
"521","12-Apr-16","Royal Challengers Bangalore","Sunrisers Hyderabad","9","M Chinnaswamy Stadium","Sunrisers Hyderabad","field","0","1","0","by runs","45","Royal Challengers Bangalore","AB de Villiers","HDPK Dharmasena","VK Sharma","Bangalore","India"
"522","13-Apr-16","Kolkata Knight Riders","Mumbai Indians","9","Eden Gardens","Mumbai Indians","field","0","1","0","by wickets","6","Mumbai Indians","RG Sharma","Nitin Menon","S Ravi","Kolkata","India"
"523","14-Apr-16","Gujarat Lions","Rising Pune Supergiants","9","Saurashtra Cricket Association Stadium","Rising Pune Supergiants","bat","0","1","0","by wickets","7","Gujarat Lions","AJ Finch","VA Kulkarni","CK Nandan","Rajkot","India"
"524","15-Apr-16","Delhi Daredevils","Kings XI Punjab","9","Feroz Shah Kotla","Delhi Daredevils","field","0","1","0","by wickets","8","Delhi Daredevils","A Mishra","S Ravi","C Shamshuddin","Delhi","India"
"525","16-Apr-16","Sunrisers Hyderabad","Kolkata Knight Riders","9","Rajiv Gandhi International Stadium, Uppal","Sunrisers Hyderabad","bat","0","1","0","by wickets","8","Kolkata Knight Riders","G Gambhir","AK Chaudhary","CK Nandan","Hyderabad","India"
"526","16-Apr-16","Mumbai Indians","Gujarat Lions","9","Wankhede Stadium","Gujarat Lions","field","0","1","0","by wickets","3","Gujarat Lions","AJ Finch","HDPK Dharmasena","VK Sharma","Mumbai","India"
"527","17-Apr-16","Kings XI Punjab","Rising Pune Supergiants","9","Punjab Cricket Association IS Bindra Stadium, Mohali","Rising Pune Supergiants","bat","0","1","0","by wickets","6","Kings XI Punjab","M Vohra","S Ravi","C Shamshuddin","Chandigarh","India"
"528","17-Apr-16","Royal Challengers Bangalore","Delhi Daredevils","9","M Chinnaswamy Stadium","Delhi Daredevils","field","0","1","0","by wickets","7","Delhi Daredevils","Q de Kock","VA Kulkarni","A Nand Kishore","Bangalore","India"
"529","18-Apr-16","Sunrisers Hyderabad","Mumbai Indians","9","Rajiv Gandhi International Stadium, Uppal","Sunrisers Hyderabad","field","0","1","0","by wickets","7","Sunrisers Hyderabad","DA Warner","HDPK Dharmasena","VK Sharma","Hyderabad","India"
"530","19-Apr-16","Kings XI Punjab","Kolkata Knight Riders","9","Punjab Cricket Association IS Bindra Stadium, Mohali","Kolkata Knight Riders","field","0","1","0","by wickets","6","Kolkata Knight Riders","RV Uthappa","S Ravi","C Shamshuddin","Chandigarh","India"
"531","20-Apr-16","Mumbai Indians","Royal Challengers Bangalore","9","Wankhede Stadium","Mumbai Indians","field","0","1","0","by wickets","6","Mumbai Indians","RG Sharma","AK Chaudhary","CK Nandan","Mumbai","India"
"532","21-Apr-16","Gujarat Lions","Sunrisers Hyderabad","9","Saurashtra Cricket Association Stadium","Sunrisers Hyderabad","field","0","1","0","by wickets","10","Sunrisers Hyderabad","B Kumar","K Bharatan","HDPK Dharmasena","Rajkot","India"
"533","22-Apr-16","Rising Pune Supergiants","Royal Challengers Bangalore","9","Maharashtra Cricket Association Stadium","Rising Pune Supergiants","field","0","1","0","by runs","13","Royal Challengers Bangalore","AB de Villiers","CB Gaffaney","VK Sharma","Pune","India"
"534","23-Apr-16","Delhi Daredevils","Mumbai Indians","9","Feroz Shah Kotla","Mumbai Indians","field","0","1","0","by runs","10","Delhi Daredevils","SV Samson","S Ravi","C Shamshuddin","Delhi","India"
"535","23-Apr-16","Sunrisers Hyderabad","Kings XI Punjab","9","Rajiv Gandhi International Stadium, Uppal","Sunrisers Hyderabad","field","0","1","0","by wickets","5","Sunrisers Hyderabad","Mustafizur Rahman","AK Chaudhary","CK Nandan","Hyderabad","India"
"536","24-Apr-16","Gujarat Lions","Royal Challengers Bangalore","9","Saurashtra Cricket Association Stadium","Royal Challengers Bangalore","bat","0","1","0","by wickets","6","Gujarat Lions","V Kohli","K Bharatan","BNJ Oxenford","Rajkot","India"
"537","24-Apr-16","Rising Pune Supergiants","Kolkata Knight Riders","9","Maharashtra Cricket Association Stadium","Kolkata Knight Riders","field","0","1","0","by wickets","2","Kolkata Knight Riders","SA Yadav","CB Gaffaney","A Nand Kishore","Pune","India"
"538","25-Apr-16","Kings XI Punjab","Mumbai Indians","9","Punjab Cricket Association IS Bindra Stadium, Mohali","Kings XI Punjab","field","0","1","0","by runs","25","Mumbai Indians","PA Patel","Nitin Menon","RJ Tucker","Chandigarh","India"
