"match","date","team_1","team_2","season","venue","toss_winner","toss_decision","is_superover","is_result","is_duckworthlewis","win_type","won_by","winner","mom","first_umpire","second_empire","city","host_country"
"332","10-Apr-13","Kings XI Punjab","Chennai Super Kings","6","Punjab Cricket Association Stadium, Mohali","Chennai Super Kings","field","0","1","0","by wickets","10","Chennai Super Kings","MEK Hussey","Aleem Dar","C Shamshuddin","Chandigarh","India"
"333","11-Apr-13","Royal Challengers Bangalore","Kolkata Knight Riders","6","M Chinnaswamy Stadium","Royal Challengers Bangalore","field","0","1","0","by wickets","8","Royal Challengers Bangalore","CH Gayle","Asad Rauf","AK Chaudhary","Bangalore","India"
"334","11-Apr-13","Pune Warriors","Rajasthan Royals","6","Subrata Roy Sahara Stadium","Rajasthan Royals","bat","0","1","0","by wickets","7","Pune Warriors","AJ Finch","M Erasmus","K Srinath","Pune","India"
"335","12-Apr-13","Delhi Daredevils","Sunrisers Hyderabad","6","Feroz Shah Kotla","Delhi Daredevils","bat","0","1","0","by wickets","3","Sunrisers Hyderabad","A Mishra","Aleem Dar","Subroto Das","Delhi","India"
"336","13-Apr-13","Mumbai Indians","Pune Warriors","6","Wankhede Stadium","Mumbai Indians","bat","0","1","0","by runs","41","Mumbai Indians","RG Sharma","S Ravi","SJA Taufel","Mumbai","India"
"337","13-Apr-13","Chennai Super Kings","Royal Challengers Bangalore","6","MA Chidambaram Stadium, Chepauk","Chennai Super Kings","field","0","1","0","by wickets","4","Chennai Super Kings","RA Jadeja","Asad Rauf","AK Chaudhary","Chennai","India"
"338","14-Apr-13","Kolkata Knight Riders","Sunrisers Hyderabad","6","Eden Gardens","Kolkata Knight Riders","bat","0","1","0","by runs","48","Kolkata Knight Riders","G Gambhir","M Erasmus","VA Kulkarni","Kolkata","India"
"339","14-Apr-13","Rajasthan Royals","Kings XI Punjab","6","Sawai Mansingh Stadium","Rajasthan Royals","field","0","1","0","by wickets","6","Rajasthan Royals","JP Faulkner","Aleem Dar","C Shamshuddin","Jaipur","India"
"340","15-Apr-13","Chennai Super Kings","Pune Warriors","6","MA Chidambaram Stadium, Chepauk","Pune Warriors","bat","0","1","0","by runs","24","Pune Warriors","SPD Smith","Asad Rauf","AK Chaudhary","Chennai","India"
"341","16-Apr-13","Kings XI Punjab","Kolkata Knight Riders","6","Punjab Cricket Association Stadium, Mohali","Kolkata Knight Riders","field","0","1","0","by runs","4","Kings XI Punjab","MS Gony","CK Nandan","SJA Taufel","Chandigarh","India"
"342","16-Apr-13","Royal Challengers Bangalore","Delhi Daredevils","6","M Chinnaswamy Stadium","Royal Challengers Bangalore","field","1","1","0","Tie","NULL","Royal Challengers Bangalore","V Kohli","M Erasmus","VA Kulkarni","Bangalore","India"
"343","17-Apr-13","Pune Warriors","Sunrisers Hyderabad","6","Subrata Roy Sahara Stadium","Pune Warriors","field","0","1","0","by runs","11","Sunrisers Hyderabad","A Mishra","Asad Rauf","AK Chaudhary","Pune","India"
"344","17-Apr-13","Rajasthan Royals","Mumbai Indians","6","Sawai Mansingh Stadium","Rajasthan Royals","bat","0","1","0","by runs","87","Rajasthan Royals","AM Rahane","Aleem Dar","C Shamshuddin","Jaipur","India"
"345","18-Apr-13","Delhi Daredevils","Chennai Super Kings","6","Feroz Shah Kotla","Chennai Super Kings","bat","0","1","0","by runs","86","Chennai Super Kings","MEK Hussey","M Erasmus","VA Kulkarni","Delhi","India"
"346","19-Apr-13","Sunrisers Hyderabad","Kings XI Punjab","6","Rajiv Gandhi International Stadium, Uppal","Kings XI Punjab","bat","0","1","0","by wickets","5","Sunrisers Hyderabad","GH Vihari","HDPK Dharmasena","CK Nandan","Hyderabad","India"
"347","20-Apr-13","Kolkata Knight Riders","Chennai Super Kings","6","Eden Gardens","Kolkata Knight Riders","bat","0","1","0","by wickets","4","Chennai Super Kings","RA Jadeja","Asad Rauf","AK Chaudhary","Kolkata","India"
"348","20-Apr-13","Royal Challengers Bangalore","Rajasthan Royals","6","M Chinnaswamy Stadium","Royal Challengers Bangalore","field","0","1","0","by wickets","7","Royal Challengers Bangalore","R Vinay Kumar","Aleem Dar","C Shamshuddin","Bangalore","India"
"349","21-Apr-13","Delhi Daredevils","Mumbai Indians","6","Feroz Shah Kotla","Mumbai Indians","bat","0","1","0","by wickets","9","Delhi Daredevils","V Sehwag","HDPK Dharmasena","S Ravi","Delhi","India"
"350","21-Apr-13","Kings XI Punjab","Pune Warriors","6","Punjab Cricket Association Stadium, Mohali","Kings XI Punjab","field","0","1","0","by wickets","7","Kings XI Punjab","DA Miller","M Erasmus","K Srinath","Chandigarh","India"
"351","22-Apr-13","Chennai Super Kings","Rajasthan Royals","6","MA Chidambaram Stadium, Chepauk","Rajasthan Royals","bat","0","1","0","by wickets","5","Chennai Super Kings","MEK Hussey","S Asnani","AK Chaudhary","Chennai","India"
"352","23-Apr-13","Royal Challengers Bangalore","Pune Warriors","6","M Chinnaswamy Stadium","Pune Warriors","field","0","1","0","by runs","130","Royal Challengers Bangalore","CH Gayle","Aleem Dar","C Shamshuddin","Bangalore","India"
"353","16-May-13","Kings XI Punjab","Delhi Daredevils","6","Himachal Pradesh Cricket Association Stadium","Delhi Daredevils","field","0","1","0","by runs","7","Kings XI Punjab","DA Miller","HDPK Dharmasena","S Ravi","Dharamsala","India"
"354","24-Apr-13","Kolkata Knight Riders","Mumbai Indians","6","Eden Gardens","Kolkata Knight Riders","bat","0","1","0","by wickets","5","Mumbai Indians","DR Smith","HDPK Dharmasena","S Ravi","Kolkata","India"
"355","25-Apr-13","Chennai Super Kings","Sunrisers Hyderabad","6","MA Chidambaram Stadium, Chepauk","Sunrisers Hyderabad","bat","0","1","0","by wickets","5","Chennai Super Kings","MS Dhoni","Aleem Dar","S Das","Chennai","India"
"356","26-Apr-13","Kolkata Knight Riders","Kings XI Punjab","6","Eden Gardens","Kings XI Punjab","bat","0","1","0","by wickets","6","Kolkata Knight Riders","JH Kallis","CK Nandan","S Ravi","Kolkata","India"
"357","27-Apr-13","Rajasthan Royals","Sunrisers Hyderabad","6","Sawai Mansingh Stadium","Sunrisers Hyderabad","bat","0","1","0","by wickets","8","Rajasthan Royals","JP Faulkner","VA Kulkarni","K Srinath","Jaipur","India"
"358","27-Apr-13","Mumbai Indians","Royal Challengers Bangalore","6","Wankhede Stadium","Mumbai Indians","bat","0","1","0","by runs","58","Mumbai Indians","DR Smith","Asad Rauf","S Asnani","Mumbai","India"
"359","28-Apr-13","Chennai Super Kings","Kolkata Knight Riders","6","MA Chidambaram Stadium, Chepauk","Kolkata Knight Riders","field","0","1","0","by runs","14","Chennai Super Kings","MEK Hussey","Aleem Dar","SJA Taufel","Chennai","India"
"360","28-Apr-13","Delhi Daredevils","Pune Warriors","6","Shaheed Veer Narayan Singh International Stadium","Pune Warriors","field","0","1","0","by runs","15","Delhi Daredevils","DA Warner","CK Nandan","S Ravi","Raipur","India"
"361","29-Apr-13","Rajasthan Royals","Royal Challengers Bangalore","6","Sawai Mansingh Stadium","Rajasthan Royals","field","0","1","0","by wickets","4","Rajasthan Royals","SV Samson","M Erasmus","K Srinath","Jaipur","India"
"362","29-Apr-13","Mumbai Indians","Kings XI Punjab","6","Wankhede Stadium","Mumbai Indians","bat","0","1","0","by runs","4","Mumbai Indians","RG Sharma","Asad Rauf","AK Chaudhary","Mumbai","India"
